accession	description	length	virus	mol_type	isolate	host	db_xref	country	date	strain	author	journal	title	division
MT334562	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00302/2020 ORF1ab polyprotein (ORF1ab) gene, partial cds; ORF1a polyprotein (ORF1ab) gene, complete cds; surface glycoprotein (S) gene, partial cds; ORF3a protein (ORF3a) gene, complete cds; envelope protein (E) and membrane glycoprotein (M) genes, partial cds; ORF6 protein (ORF6) gene, complete cds; ORF7a protein (ORF7a) and ORF7b (ORF7b) genes, partial cds; ORF8 protein (ORF8) gene, complete cds; nucleocapsid phosphoprotein (N) gene, partial cds; and ORF10 gene, complete sequence	29864	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/UT-00302/2020	Homo sapiens	taxon:2697049	USA	2020-03-25	SARS-CoV-2/human/USA/UT-00302/2020	Young,E. and Oakeson,K.	Submitted (09-APR-2020) Department of Health, Utah Public Health Laboratory, 4431 2700 W, SLC, UT 84129, USA	Direct Submission	UT
MT334561	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00301/2020, complete genome	29878	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/UT-00301/2020	Homo sapiens	taxon:2697049	USA	2020-03-26	SARS-CoV-2/human/USA/UT-00301/2020	Young,E. and Oakeson,K.	Submitted (09-APR-2020) Department of Health, Utah Public Health Laboratory, 4431 2700 W, SLC, UT 84129, USA	Direct Submission	UT
MT334560	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00300/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a gene, complete sequence; and ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29797	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/UT-00300/2020	Homo sapiens	taxon:2697049	USA	2020-03-25	SARS-CoV-2/human/USA/UT-00300/2020	Young,E. and Oakeson,K.	Submitted (09-APR-2020) Department of Health, Utah Public Health Laboratory, 4431 2700 W, SLC, UT 84129, USA	Direct Submission	UT
MT334559	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00297/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29899	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/UT-00297/2020	Homo sapiens	taxon:2697049	USA	2020-03-24	SARS-CoV-2/human/USA/UT-00297/2020	Young,E. and Oakeson,K.	Submitted (09-APR-2020) Department of Health, Utah Public Health Laboratory, 4431 2700 W, SLC, UT 84129, USA	Direct Submission	UT
MT334558	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00291/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a protein (ORF7a) and ORF7b (ORF7b) genes, partial cds; and ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29811	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/UT-00291/2020	Homo sapiens	taxon:2697049	USA	2020-03-19	SARS-CoV-2/human/USA/UT-00291/2020	Young,E. and Oakeson,K.	Submitted (09-APR-2020) Department of Health, Utah Public Health Laboratory, 4431 2700 W, SLC, UT 84129, USA	Direct Submission	UT
MT334557	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00290/2020, complete genome	29840	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/UT-00290/2020	Homo sapiens	taxon:2697049	USA	2020-03-20	SARS-CoV-2/human/USA/UT-00290/2020	Young,E. and Oakeson,K.	Submitted (09-APR-2020) Department of Health, Utah Public Health Laboratory, 4431 2700 W, SLC, UT 84129, USA	Direct Submission	UT
MT334556	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00289/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29847	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/UT-00289/2020	Homo sapiens	taxon:2697049	USA	2020-03-20	SARS-CoV-2/human/USA/UT-00289/2020	Young,E. and Oakeson,K.	Submitted (09-APR-2020) Department of Health, Utah Public Health Laboratory, 4431 2700 W, SLC, UT 84129, USA	Direct Submission	UT
MT334555	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00288/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a protein (ORF7a) and ORF7b (ORF7b) genes, partial cds; and ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29806	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/UT-00288/2020	Homo sapiens	taxon:2697049	USA	2020-03-20	SARS-CoV-2/human/USA/UT-00288/2020	Young,E. and Oakeson,K.	Submitted (09-APR-2020) Department of Health, Utah Public Health Laboratory, 4431 2700 W, SLC, UT 84129, USA	Direct Submission	UT
MT334554	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00287/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29797	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/UT-00287/2020	Homo sapiens	taxon:2697049	USA	2020-03-19	SARS-CoV-2/human/USA/UT-00287/2020	Young,E. and Oakeson,K.	Submitted (09-APR-2020) Department of Health, Utah Public Health Laboratory, 4431 2700 W, SLC, UT 84129, USA	Direct Submission	UT
MT334553	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00284/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a protein (ORF7a) and ORF7b (ORF7b) genes, partial cds; and ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29863	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/UT-00284/2020	Homo sapiens	taxon:2697049	USA	2020-03-24	SARS-CoV-2/human/USA/UT-00284/2020	Young,E. and Oakeson,K.	Submitted (09-APR-2020) Department of Health, Utah Public Health Laboratory, 4431 2700 W, SLC, UT 84129, USA	Direct Submission	UT
MT334552	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00159/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29788	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/UT-00159/2020	Homo sapiens	taxon:2697049	USA	2020-03-23	SARS-CoV-2/human/USA/UT-00159/2020	Young,E. and Oakeson,K.	Submitted (09-APR-2020) Department of Health, Utah Public Health Laboratory, 4431 2700 W, SLC, UT 84129, USA	Direct Submission	UT
MT334551	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00090/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a protein (ORF7a) and ORF7b (ORF7b) genes, partial cds; and ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29863	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/UT-00090/2020	Homo sapiens	taxon:2697049	USA	2020-03-14	SARS-CoV-2/human/USA/UT-00090/2020	Young,E. and Oakeson,K.	Submitted (09-APR-2020) Department of Health, Utah Public Health Laboratory, 4431 2700 W, SLC, UT 84129, USA	Direct Submission	UT
MT334550	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00089/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29890	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/UT-00089/2020	Homo sapiens	taxon:2697049	USA	2020-03-14	SARS-CoV-2/human/USA/UT-00089/2020	Young,E. and Oakeson,K.	Submitted (09-APR-2020) Department of Health, Utah Public Health Laboratory, 4431 2700 W, SLC, UT 84129, USA	Direct Submission	UT
MT334549	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00087/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), and membrane glycoprotein (M) genes, partial cds; ORF6 protein (ORF6) gene, complete cds; ORF7a protein (ORF7a) gene, partial cds; ORF7b gene, complete sequence; ORF8 protein (ORF8) gene, partial cds; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds	29864	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/UT-00087/2020	Homo sapiens	taxon:2697049	USA	2020-03-12	SARS-CoV-2/human/USA/UT-00087/2020	Young,E. and Oakeson,K.	Submitted (09-APR-2020) Department of Health, Utah Public Health Laboratory, 4431 2700 W, SLC, UT 84129, USA	Direct Submission	UT
MT334548	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00034/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29899	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/UT-00034/2020	Homo sapiens	taxon:2697049	USA	2020-03-20	SARS-CoV-2/human/USA/UT-00034/2020	Young,E. and Oakeson,K.	Submitted (09-APR-2020) Department of Health, Utah Public Health Laboratory, 4431 2700 W, SLC, UT 84129, USA	Direct Submission	UT
MT334547	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00033/2020, complete genome	29903	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/UT-00033/2020	Homo sapiens	taxon:2697049	USA	2020-03-19	SARS-CoV-2/human/USA/UT-00033/2020	Young,E. and Oakeson,K.	Submitted (09-APR-2020) Department of Health, Utah Public Health Laboratory, 4431 2700 W, SLC, UT 84129, USA	Direct Submission	UT
MT334546	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00032/2020, complete genome	29899	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/UT-00032/2020	Homo sapiens	taxon:2697049	USA	2020-03-19	SARS-CoV-2/human/USA/UT-00032/2020	Young,E. and Oakeson,K.	Submitted (09-APR-2020) Department of Health, Utah Public Health Laboratory, 4431 2700 W, SLC, UT 84129, USA	Direct Submission	UT
MT334545	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00031/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29861	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/UT-00031/2020	Homo sapiens	taxon:2697049	USA	2020-03-19	SARS-CoV-2/human/USA/UT-00031/2020	Young,E. and Oakeson,K.	Submitted (09-APR-2020) Department of Health, Utah Public Health Laboratory, 4431 2700 W, SLC, UT 84129, USA	Direct Submission	UT
MT334544	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00028/2020, complete genome	29903	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/UT-00028/2020	Homo sapiens	taxon:2697049	USA	2020-03-19	SARS-CoV-2/human/USA/UT-00028/2020	Young,E. and Oakeson,K.	Submitted (09-APR-2020) Department of Health, Utah Public Health Laboratory, 4431 2700 W, SLC, UT 84129, USA	Direct Submission	UT
MT334543	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00027/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	29864	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/UT-00027/2020	Homo sapiens	taxon:2697049	USA	2020-03-16	SARS-CoV-2/human/USA/UT-00027/2020	Young,E. and Oakeson,K.	Submitted (09-APR-2020) Department of Health, Utah Public Health Laboratory, 4431 2700 W, SLC, UT 84129, USA	Direct Submission	UT
MT334542	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00025/2020, complete genome	29903	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/UT-00025/2020	Homo sapiens	taxon:2697049	USA	2020-03-11	SARS-CoV-2/human/USA/UT-00025/2020	Young,E. and Oakeson,K.	Submitted (09-APR-2020) Department of Health, Utah Public Health Laboratory, 4431 2700 W, SLC, UT 84129, USA	Direct Submission	UT
MT334541	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00023/2020, complete genome	29902	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/UT-00023/2020	Homo sapiens	taxon:2697049	USA	2020-03-11	SARS-CoV-2/human/USA/UT-00023/2020	Young,E. and Oakeson,K.	Submitted (09-APR-2020) Department of Health, Utah Public Health Laboratory, 4431 2700 W, SLC, UT 84129, USA	Direct Submission	UT
MT334540	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00022/2020, complete genome	29901	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/UT-00022/2020	Homo sapiens	taxon:2697049	USA	2020-03-14	SARS-CoV-2/human/USA/UT-00022/2020	Young,E. and Oakeson,K.	Submitted (09-APR-2020) Department of Health, Utah Public Health Laboratory, 4431 2700 W, SLC, UT 84129, USA	Direct Submission	UT
MT334539	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00021/2020, complete genome	29862	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/UT-00021/2020	Homo sapiens	taxon:2697049	USA	2020-03-14	SARS-CoV-2/human/USA/UT-00021/2020	Young,E. and Oakeson,K.	Submitted (09-APR-2020) Department of Health, Utah Public Health Laboratory, 4431 2700 W, SLC, UT 84129, USA	Direct Submission	UT
MT334538	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00020/2020, complete genome	29903	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/UT-00020/2020	Homo sapiens	taxon:2697049	USA	2020-03-13	SARS-CoV-2/human/USA/UT-00020/2020	Young,E. and Oakeson,K.	Submitted (09-APR-2020) Department of Health, Utah Public Health Laboratory, 4431 2700 W, SLC, UT 84129, USA	Direct Submission	UT
MT334537	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00019/2020, complete genome	29901	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/UT-00019/2020	Homo sapiens	taxon:2697049	USA	2020-03-13	SARS-CoV-2/human/USA/UT-00019/2020	Young,E. and Oakeson,K.	Submitted (09-APR-2020) Department of Health, Utah Public Health Laboratory, 4431 2700 W, SLC, UT 84129, USA	Direct Submission	UT
MT334536	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-00017/2020, complete genome	29899	Severe acute respiratory syndrome coronavirus 2	genomic RNA	SARS-CoV-2/human/USA/UT-00017/2020	Homo sapiens	taxon:2697049	USA	2020-03-13	SARS-CoV-2/human/USA/UT-00017/2020	Young,E. and Oakeson,K.	Submitted (09-APR-2020) Department of Health, Utah Public Health Laboratory, 4431 2700 W, SLC, UT 84129, USA	Direct Submission	UT
